id,text_cleaned,text
1362093941861068809,claude frederic bastiat economics thelaw economicsophisms politicaleconomy political,Claude Frederic Bastiat #Economics #TheLaw #EconomicSophisms #PoliticalEconomy #Political #Politics… https://t.co/4casLcY4Ha
1373169357157670914,hon ble pm shri ji addresses public meeting kharagpur west bengal modirsatheiasholporiborton,"RT @sanghaviharsh: Hon’ble PM Shri @narendramodi Ji addresses public meeting at Kharagpur, West Bengal.

 #ModirSatheiAsholPoriborton

http…"
1372623144544915458,sngupta noticing many right wing ids consoling followers saying candidates not matter matters,"RT @sourav_sngupta: Noticing many right wing ID's are consoling their followers saying that candidates don't matter, what matters is the sy…"
1372909368937570318,rheasharmaisloved download new made india app,"#RheaSharmaIsLoved
https://t.co/HAv2qWlilk
Download new made in India app https://t.co/A4dD88pQgu"
1372623064849059840,texans deserve state leader value science amp empathy politics amp greed millennial,Texans deserve state leader who value science &amp; empathy over politics &amp; greed. If you’re a Millennial Against Texas… https://t.co/qLsevDwbVv
1362079288279789568,abki baar petrol par west bengal pradesh youth congress led president shadab khan protesting,"Abki Baar 
Petrol 100 par. 

West Bengal Pradesh Youth Congress  led by President Shadab Khan Protesting  against t… https://t.co/JSClQVs3VK"
1372623472568930305,government idiot problem idiot representatives not protect amp serve,"@laurenboebert Government has an idiot problem, it has idiot representatives who are not there to protect &amp; serve A… https://t.co/U2Q1QAAZ4b"
1362100689233731585,check gig fiverr shopify store jhope عمرواديب,"Check out my Gig on Fiverr: Shopify store  https://t.co/CHT0ex7PZ2 

 #JHOPE #عمرواديب #القبضعلىالمبتزبنحثلين… https://t.co/SnAHHg2DQQ"
1362079263415930880,bjp right wing party today read internal security find right wight wants minimal,RT @Enzoneeraj09: Bjp is the right wing party. Today I read about internal security where I find out right wight who wants minimal interfer…
1373324482555695104,coumonitored probe lead fruitful end extortion dhandha resign anildeshmukh teamsp,"RT @dramanksingh: Only A Court Monitored Probe can Lead to Fruitful end to this Extortion ""Dhandha ! 

Resign #AnilDeshmukh 
#TeamSP

@Sheh…"
1373320414814867464,left negative not trusted sly stealth greed selfish arrogance run dna r,"RT @SMenonT: @nilotpalm3 Left is negative, they can't be trusted at all. Sly, stealth, greed, selfish, arrogance run in their DNA. They r n…"
1372622188969406472,serpent like putin knows something,RT @rising_serpent: It's like Putin knows something. https://t.co/tHMXRGEftI
1362099711474212864,first unsuccessful prime minister ever era indias independence,"The First Unsuccessful Prime Minister @narendramodi ever in the era from India's Independence.
#feku_se_savadhan… https://t.co/11G3A5yCOX"
1362087355331604490,rush limbaugh died morning politics,Rush Limbaugh died this morning. #politics  https://t.co/G0245VqfbZ
1372901242331136007,skoda kushaq v hyundai creta v kia seltos specs scope toi auto takes closer look czech automaker,"Skoda Kushaq v Hyundai Creta v Kia Seltos: Specs under scope
TOI Auto takes a closer look at the Czech automaker’s… https://t.co/iHQS5uv987"
1373168522512142336,neglect disrespect people west bengal suffered last years not forgotten,The neglect and disrespect that the people of West Bengal have suffered in the last 10 years cannot be forgotten. W… https://t.co/zOFker09Xh
1373317783350439936,pls one mind one ask bunty bubbly many zeros missing fadnavis cm,"Pls no one mind it no one will ask from Bunty Bubbly how many zeros in #100Crore 😂🤣
Missing @Dev_Fadnavis our CM 🙏… https://t.co/X7YDO35RHd"
1372623134390632450,thank speaker heastie polls show new yorkers agree not mention,"@CarlHeastie Thank you Speaker Heastie!
Polls show that 90% of New Yorkers agree with you. Not to mention millions… https://t.co/gunYQxDMH4"
1372623213746737152,gilman century us created familyscale farming entrepreneurial characteristics developing,RT @nils_gilman: “In the 19th century the U.S. created family-scale farming with entrepreneurial characteristics by developing institutions…
1362080722773676033,basically politics nasty dirty lifeless entity existing earth father victim,"Basically #Politics is a very nasty and dirty lifeless entity existing on Earth.
Your father was a victim of that e… https://t.co/tWfkEaB0Cc"
1372622066592198659,not bizarre extreme though murders betray indirect not,"@disclosetv It's not bizarre and extreme though, is it? He murders those who betray him, indirect or not.    It's g… https://t.co/qSkePm2Nqr"
1373320864725340160,saying multiply actually congress rule parambirsingh letter,"Some are saying multiply 100*12months

Actually it should be 100*70years of congress rule

#ParambirSingh letter"
1362078917096480768,soon completion price petrol price gold,Soon there will be completion between price of Petrol and price of  Gold. #petrol100 https://t.co/XAoS7LElNu
1362098837687439360,bank privatization lic disinvestment railway disinvestment record breaking inflation petrol rate,"Bank privatization ,LIC disinvestment, Railway Disinvestment, Record breaking inflation, Petrol rate 100 cross,""waa… https://t.co/tlmeEfBZ7V"
